RI must not be shipped blah blah blah
Card Name,Set Name,Rarity,Number,Color,Condition,Quantity
"Bloated Processor","March of the Machine","R","93","Black","Near Mint","1"
"Furnace Reins","March of the Machine","U","141","Red","Near Mint","1"
"Phyrexian Censor","March of the Machine","U","31","White","Near Mint","1"
"Stormclaw Rager","March of the Machine","U","254","Black;Red","Near Mint","1"
"Black Sun's Twilight (Extended Art)","Phyrexia: All Will Be One","R","383","Black","Near Mint","1"
"Melira, the Living Cure","Phyrexia: All Will Be One","R","209","Green;White","Near Mint","1"
"Mercurial Spelldancer (Extended Art)","Phyrexia: All Will Be One","R","381","Blue","Near Mint","1"
"Plains (262) - Full Art","Phyrexia: All Will Be One","L","262","Colorless","Near Mint","2"
"Skrelv's Hive (Extended Art)","Phyrexia: All Will Be One","R","376","White","Near Mint","1"
"Teferi, Temporal Pilgrim (Borderless)","The Brothers' War","M","293","Blue","Near Mint","1"
"Stronghold Arena","Dominaria United","R","110","Black","Near Mint","2"
"Fight Rigging","Streets of New Capenna","R","145","Green","Near Mint","1"
"Mr. Orfeo, the Boulder (Showcase)","Streets of New Capenna","U","320","Black;Green;Red","Near Mint","1"
"Treasure Token (014)","Streets of New Capenna","T","14","Colorless","Near Mint","4"
"Witness Protection","Streets of New Capenna","C","66","Blue","Near Mint","1"
"Consuming Tide","Innistrad: Crimson Vow","R","53","Blue","Near Mint","1"
"Forest (384)","Innistrad: Midnight Hunt","L","384","Colorless","Near Mint","1"
"Graveyard Trespasser","Innistrad: Midnight Hunt","R","104","Black","Near Mint","2"
"Potion of Healing","Adventures in the Forgotten Realms","C","34","White","Near Mint","1"
"Targ Nar, Demon-Fang Gnoll","Adventures in the Forgotten Realms","U","234","Green;Red","Near Mint","2"
"Treasure Chest","Adventures in the Forgotten Realms","R","252","Colorless","Near Mint","1"
"Scurrid Colony","Strixhaven: School of Mages","C","142","Green","Near Mint","1"
"Silverquill Command","Strixhaven: School of Mages","R","232","Black;White","Near Mint","1"
"Gift of Estates","Strixhaven: Mystical Archives","R","6","White","Near Mint","1"
"Inquisition of Kozilek","Strixhaven: Mystical Archives","R","31","Black","Near Mint","1"
"Krosan Grip","Strixhaven: Mystical Archives","R","53","Green","Near Mint","1"
"Tainted Pact","Strixhaven: Mystical Archives","M","33","Black","Near Mint","1"
"Firja, Judge of Valor","Kaldheim","U","209","Black;White","Near Mint","1"
"Kaya the Inexorable","Kaldheim","M","218","Black;White","Near Mint","2"
"Valki, God of Lies (Borderless)","Kaldheim","M","286","Black","Near Mint","1"
"Ram Through","Ikoria: Lair of Behemoths","C","170","Green","Near Mint","3"
"Galloping Lizrog","Ravnica Allegiance","U","175","Blue;Green","Near Mint","1"
"Sauroform Hybrid","Ravnica Allegiance","C","140","Green","Near Mint","1"
"Scrabbling Claws","Ravnica Allegiance","U","238","Colorless","Near Mint","1"
"Skatewing Spy","Ravnica Allegiance","U","52","Blue","Near Mint","1"
"Remorseful Cleric","Core Set 2019","R","33","White","Near Mint","1"
"Karox Bladewing Token","Dominaria","T","10","","Near Mint","1"
"Forest (270)","Magic Origins","L","270","Colorless","Near Mint","1"
"Wind-Scarred Crag","Khans of Tarkir","C","247","","Near Mint","1"
