Reimbursement Invoices MUST be shipped in the order listed on the RI Packing Slip
Card Name,Set Name,Rarity,Number,Color,Condition,Quantity
"Liepard","SM - Unified Minds","Rare","136/236","","Near Mint","1"
"Litwick","XY - Phantom Forces","Common","41/119","","Near Mint","1"
"Clefairy","Call of Legends","Common","54","","Near Mint","1"
"Chingling","Mysterious Treasures","Uncommon","042/123","","Near Mint","1"
"Krabby","Crystal Guardians","Common","054/100","","Near Mint","1"
"Electabuzz (Movie Promo)","WoTC Promo","Promo","02/53","","Near Mint","1"
"Heat Rotom","SM - Ultra Prism","Rare","24/156","","Lightly Played","1"
"Dimension Valley","XY - Phantom Forces","Uncommon","93/119","","Lightly Played","1"
"Double Colorless Energy","XY - Phantom Forces","Uncommon","111/119","","Lightly Played","1"
"Robo Substitute","XY - Phantom Forces","Uncommon","102/119","","Lightly Played","1"
"Trick Coin","XY - Phantom Forces","Uncommon","108/119","","Lightly Played","1"
"Volcarona (Team Plasma)","Plasma Blast","Rare","13/101","","Lightly Played","1"
"Kakuna","Plasma Freeze","Uncommon","2/116","","Lightly Played","1"
"Sewaddle","Noble Victories","Common","1/101","","Lightly Played","2"
"Teddiursa","Unleashed","Common","65","","Lightly Played","1"
"Haunter","Diamond and Pearl","Uncommon","050/130","","Lightly Played","1"
"Wynaut","Power Keepers","Common","070/108","","Lightly Played","1"
"Pineco","Unseen Forces","Common","66/115","","Lightly Played","1"
"Koffing","Team Rocket Returns","Common","061/109","","Lightly Played","1"
"Ralts - 067/109","Ruby and Sapphire","Common","067/109","","Lightly Played","1"
"Unown [U]","Neo Discovery","Uncommon","51/75","","Lightly Played 1st Edition","1"
"Cubone","Base Set 2","Common","070/130","","Lightly Played","1"
"Onix","Base Set 2","Common","084/130","","Lightly Played","1"
"Pikachu","Base Set 2","Common","087/130","","Lightly Played","1"
"Full Heal","Base Set","Uncommon","082/102","","Lightly Played","1"
"Jigglypuff","WoTC Promo","Promo","07/53","","Lightly Played","1"
"Mew (8)","WoTC Promo","Promo","8","","Lightly Played","2"
"Gloria","SWSH09: Brilliant Stars","Uncommon","141/172","","Moderately Played","2"
"AZ","XY - Phantom Forces","Uncommon","91/119","","Moderately Played","1"
"Croagunk","Majestic Dawn","Common","060/100","","Moderately Played","1"
"Growlithe","Secret Wonders","Common","089/132","","Moderately Played","1"
"Miltank","Secret Wonders","Uncommon","055/132","","Moderately Played","1"
"Unown [K]","Secret Wonders","Uncommon","068/132","","Moderately Played","1"
"Treecko","Emerald","Common","070/106","","Moderately Played","1"
"Magnemite","Team Rocket Returns","Common","066/109","","Moderately Played","1"
"Sandshrew","Sandstorm","Common","075/100","","Moderately Played","1"
"Imposter Professor Oak","Base Set 2","Rare","102/130","","Moderately Played","1"
"Jynx","Base Set 2","Uncommon","045/130","","Moderately Played","1"
"Onix","Base Set 2","Common","084/130","","Moderately Played","1"
"Parasect","Base Set 2","Uncommon","055/130","","Moderately Played","1"
"Druddigon","SM - Unified Minds","Common","157/236","","Near Mint Reverse Holofoil","1"
"Head Ringer","XY - Phantom Forces","Holo Rare","97/119","","Near Mint Holofoil","1"
"Lampent","XY - Phantom Forces","Uncommon","42/119","","Near Mint Reverse Holofoil","1"
"Swalot","XY - Phantom Forces","Rare","38/119","","Near Mint Reverse Holofoil","1"
"Gothita","XY - Furious Fists","Common","39/111","","Near Mint Reverse Holofoil","1"
"Magikarp","XY Promos","Promo","XY143","","Near Mint Holofoil","1"
"Ultra Ball - 68a/73 (League Cup)","League & Championship Cards","Promo","068a/073","","Near Mint Reverse Holofoil","1"
"Blunder Policy","SWSH09: Brilliant Stars","Uncommon","131/172","","Lightly Played Reverse Holofoil","2"
"Octillery","SWSH05: Battle Styles","Holo Rare","037/163","","Lightly Played Holofoil","1"
"Swoobat","Boundaries Crossed","Rare","71/149","","Lightly Played Reverse Holofoil","1"
"Combee","Majestic Dawn","Common","059/100","","Lightly Played Reverse Holofoil","1"
"Giovanni's Machamp","Gym Challenge","Holo Rare","006/132","","Lightly Played Unlimited Holofoil","1"
"Pikachu - 5/12","McDonald's Promos 2014","Promo","005/012","","Lightly Played Holofoil","1"
"Dashing Pouch","SM - Crimson Invasion","Uncommon","92/111","","Moderately Played Reverse Holofoil","1"
"Dragonite EX","XY - Evolutions","Ultra Rare","72/108","","Moderately Played Holofoil","1"
"Fresh Water Set","SWSH09: Brilliant Stars","Uncommon","139/172","","Near Mint","1"
"Luvdisc","SM - Celestial Storm","Common","44/168","","Near Mint","1"
"Cherrim","SM - Ultra Prism","Uncommon","11/156","","Near Mint","1"
"Gengar Spirit Link","XY - Phantom Forces","Uncommon","95/119","","Near Mint","1"
"Jellicent","XY - Phantom Forces","Rare","21/119","","Near Mint","1"
"Wobbuffet","XY - Phantom Forces","Uncommon","36/119","","Near Mint","1"
"Golbat","Hidden Legends","Uncommon","036/101","","Near Mint","1"
"Tepig - 13/25","McDonald's 25th Anniversary Promos","Promo","013/025","","Near Mint","1"
"Avalugg","XY - Steam Siege","Rare","37/114","","Lightly Played","1"
"Crobat","XY - Phantom Forces","Rare","33/119","","Lightly Played","1"
"Dimension Valley","XY - Phantom Forces","Uncommon","93/119","","Lightly Played","9"
"Trick Coin","XY - Phantom Forces","Uncommon","108/119","","Lightly Played","1"
"Nidoran F","Plasma Freeze","Common","40/116","","Lightly Played","1"
"Tympole","Dragons Exalted","Common","34/124","","Lightly Played","1"
"Minccino","Black and White","Common","88/114","","Lightly Played","1"
"Snubbull","Call of Legends","Common","71","","Lightly Played","1"
"Gligar (94)","Legends Awakened","Common","094/146","","Lightly Played","1"
"Growlithe","Secret Wonders","Common","089/132","","Lightly Played","1"
"Chingling","Mysterious Treasures","Uncommon","042/123","","Lightly Played","1"
"Charmeleon","Crystal Guardians","Uncommon","029/100","","Lightly Played","1"
"Pelipper (Delta Species)","Crystal Guardians","Rare","026/100","","Lightly Played","1"
"Wartortle - 043/100","Crystal Guardians","Uncommon","043/100","","Lightly Played","1"
"Kingler","FireRed & LeafGreen","Rare","026/112","","Lightly Played","1"
"Metapod","FireRed & LeafGreen","Uncommon","039/112","","Lightly Played","1"
"Cyndaquil","Sandstorm","Common","059/100","","Lightly Played","1"
"Brock's Golbat","Gym Heroes","Uncommon","039/132","","Lightly Played 1st Edition","1"
"Dratini","Base Set 2","Uncommon","038/130","","Lightly Played","1"
"Farfetch'd","Base Set 2","Uncommon","040/130","","Lightly Played","1"
"Haunter","Base Set 2","Uncommon","043/130","","Lightly Played","1"
"Onix","Base Set 2","Common","084/130","","Lightly Played","1"
"Pikachu","Base Set 2","Common","087/130","","Lightly Played","1"
"Poliwhirl","Base Set 2","Uncommon","057/130","","Lightly Played","1"
"Druddigon","XY - Steam Siege","Rare","83/114","","Moderately Played","1"
"Vespiquen (11)","XY - Ancient Origins","Rare","11/98","","Moderately Played","1"
"Treecko","Plasma Freeze","Common","6/116","","Moderately Played","1"
"Growlithe","HeartGold SoulSilver","Common","65","","Moderately Played","1"
"Gastly (36)","Arceus","Uncommon","36","","Moderately Played","1"
"Electrike","Majestic Dawn","Common","064/100","","Moderately Played","1"
"Starly","Diamond and Pearl","Common","101/130","","Moderately Played","2"
"Magneton","Power Keepers","Rare","016/108","","Moderately Played","1"
"Charmander (Delta Species)","Crystal Guardians","Common","049/100","","Moderately Played","1"
"Squirtle - 064/100","Crystal Guardians","Common","064/100","","Moderately Played","1"
"Mareep","Team Rocket Returns","Common","067/109","","Moderately Played","1"
"Sandshrew","Team Rocket Returns","Common","074/109","","Moderately Played","1"
"Sandshrew","Sandstorm","Common","075/100","","Moderately Played","1"
"Girafarig","Neo Destiny","Common","066/105","","Moderately Played Unlimited","1"
"Minun","POP Series 1","Common","012/017","","Moderately Played","1"
"Celesteela","Hidden Fates: Shiny Vault","Shiny Holo Rare","SV32/SV94","","Near Mint Holofoil","1"
"Mr. Mime GX","SM - Team Up","Ultra Rare","67/181","","Near Mint Holofoil","1"
"Pachirisu","XY - Phantom Forces","Rare","25/119","","Near Mint Reverse Holofoil","1"
"Magikarp","XY Promos","Promo","XY143","","Near Mint Holofoil","1"
"Misdreavus","XY - BREAKthrough","Common","65/162","","Lightly Played Reverse Holofoil","1"
"Sabrina's Alakazam","Gym Challenge","Holo Rare","016/132","","Lightly Played Unlimited Holofoil","1"
"Gastly","XY - Evolutions","Common","47/108","","Moderately Played Reverse Holofoil","1"
"Regice","XY - Ancient Origins","Rare","24/98","","Moderately Played Reverse Holofoil","1"
"Double Colorless Energy","XY - Phantom Forces","Uncommon","111/119","","Moderately Played Reverse Holofoil","1"
"Garchomp","SM - Ultra Prism","Rare","99/156","","Near Mint","1"
"Honchkrow","XY - Phantom Forces","Rare","52/119","","Near Mint","1"
"Lampent","XY - Phantom Forces","Uncommon","42/119","","Near Mint","1"
"Lucky Egg","Arceus","Uncommon","88","","Near Mint","1"
"Ponyta (46)","Arceus","Uncommon","46","","Near Mint","1"
"Gabite","Supreme Victors","Uncommon","59","","Near Mint","1"
"Magikarp","Stormfront","Common","065/100","","Near Mint","1"
"Eevee (63)","Majestic Dawn","Common","063/100","","Near Mint","1"
"Fearow","Majestic Dawn","Uncommon","036/100","","Near Mint","1"
"Piplup","Diamond and Pearl","Common","093/130","","Near Mint","1"
"Aron","Power Keepers","Common","042/108","","Near Mint","1"
"Elekid (Delta Species)","Dragon Frontiers","Common","048/101","","Near Mint","1"
"Tropius (Delta Species)","Dragon Frontiers","Rare","023/101","","Near Mint","1"
"Grumpig","Crystal Guardians","Rare","020/100","","Near Mint","1"
"Dark Dragonair - 031/109","Team Rocket Returns","Uncommon","031/109","","Near Mint","1"
"Dark Golbat","Team Rocket Returns","Uncommon","034/109","","Near Mint","1"
"Ancient Tomb","Hidden Legends","Uncommon","087/101","","Near Mint","1"
"Diglett","Skyridge","Common","050/144","","Near Mint","1"
"Dark Omastar","Neo Destiny","Rare","019/105","","Near Mint Unlimited","1"
"Paras","Neo Revelation","Common","47/64","","Near Mint Unlimited","1"
"Parasect","Neo Revelation","Uncommon","35/64","","Near Mint Unlimited","1"
"Pokemon Breeder Fields","Neo Revelation","Uncommon","62/64","","Near Mint Unlimited","1"
"Quagsire","Neo Revelation","Common","48/64","","Near Mint Unlimited","1"
"Qwilfish","Neo Revelation","Common","49/64","","Near Mint Unlimited","1"
"Remoraid","Neo Revelation","Common","50/64","","Near Mint Unlimited","1"
"Rocket's Hideout","Neo Revelation","Uncommon","63/64","","Near Mint Unlimited","1"
"Seaking","Neo Revelation","Uncommon","37/64","","Near Mint Unlimited","1"
"Shuckle","Neo Revelation","Common","51/64","","Near Mint Unlimited","1"
"Skiploom","Neo Revelation","Common","52/64","","Near Mint Unlimited","1"
"Smoochum","Neo Revelation","Common","54/64","","Near Mint Unlimited","2"
"Snubbull","Neo Revelation","Common","55/64","","Near Mint Unlimited","2"
"Stantler","Neo Revelation","Uncommon","38/64","","Near Mint Unlimited","2"
"Staryu","Neo Revelation","Common","56/64","","Near Mint Unlimited","1"
"Unown [B]","Neo Revelation","Uncommon","39/64","","Near Mint Unlimited","1"
"Zubat","Neo Revelation","Common","59/64","","Near Mint Unlimited","1"
"Articuno (48)","WoTC Promo","Promo","48/53","","Near Mint","1"
"Electabuzz (Movie Promo)","WoTC Promo","Promo","02/53","","Near Mint","3"
"Empoleon","SM - Ultra Prism","Rare","34/156","","Lightly Played","1"
"Heat Rotom","SM - Ultra Prism","Rare","24/156","","Lightly Played","2"
"Snubbull","SM Base Set","Common","90/149","","Lightly Played","1"
"Crobat","XY - Phantom Forces","Rare","33/119","","Lightly Played","1"
"Dimension Valley","XY - Phantom Forces","Uncommon","93/119","","Lightly Played","1"
"Lampent","XY - Phantom Forces","Uncommon","42/119","","Lightly Played","1"
"Porygon","Plasma Blast","Common","72/101","","Lightly Played","1"
"Jellicent","Next Destinies","Rare","35/99","","Lightly Played","1"
"Pinsir","Next Destinies","Rare","1/99","","Lightly Played","1"
"Roggenrola (50)","Emerging Powers","Common","50/98","","Lightly Played","1"
"Patrat (77)","Black and White","Common","77/114","","Lightly Played","1"
"Spinarak","HeartGold SoulSilver","Common","83","","Lightly Played","1"
"Cherrim","Arceus","Rare","15","","Lightly Played","1"
"Eevee","Rising Rivals","Common","59","","Lightly Played","1"
"Flareon E4","Rising Rivals","Common","60","","Lightly Played","1"
"Leafeon","Rising Rivals","Uncommon","45","","Lightly Played","1"
"Gastly","Stormfront","Common","062/100","","Lightly Played","1"
"Machoke","Stormfront","Uncommon","041/100","","Lightly Played","1"
"Technical Machine TS-1","Legends Awakened","Uncommon","136/146","","Lightly Played","2"
"Eevee (63)","Majestic Dawn","Common","063/100","","Lightly Played","2"
"Bulbasaur","Secret Wonders","Common","077/132","","Lightly Played","1"
"Charmander","Secret Wonders","Common","082/132","","Lightly Played","1"
"Croconaw","Mysterious Treasures","Uncommon","044/123","","Lightly Played","1"
"Vulpix (Delta Species)","Dragon Frontiers","Common","070/101","","Lightly Played","1"
"Charmander","Crystal Guardians","Common","048/100","","Lightly Played","1"
"Charmander (Delta Species)","Crystal Guardians","Common","049/100","","Lightly Played","1"
"Hitmonlee","Unseen Forces","Rare","25/115","","Lightly Played","1"
"Camerupt","Emerald","Uncommon","023/106","","Lightly Played","1"
"Goldeen","Deoxys","Common","061/107","","Lightly Played","1"
"Ekans","Team Rocket Returns","Common","055/109","","Lightly Played","1"
"Barboach","Dragon","Common","051/097","","Lightly Played","1"
