Reimbursement Invoices MUST be shipped in the order listed on the RI Packing Slip
Card Name,Set Name,Rarity,Number,Color,Condition,Quantity
"Daxos, Blessed by the Sun","March of the Machine: Multiverse Legends","U","2","White","Near Mint","1"
"Blazing Crescendo","Phyrexia: All Will Be One","C","123","Red","Near Mint","1"
"Offer Immortality","Phyrexia: All Will Be One","C","102","Black","Near Mint","2"
"Scheming Aspirant","Phyrexia: All Will Be One","U","107","Black","Near Mint","1"
"Urabrask's Forge (Extended Art)","Phyrexia: All Will Be One","R","387","Red","Near Mint","1"
"Vraan, Executioner Thane (Showcase)","Phyrexia: All Will Be One","R","309","Black","Near Mint","1"
"Zenith Chronicler (Extended Art)","Phyrexia: All Will Be One","R","399","Colorless","Near Mint","2"
"Diabolic Intent","The Brothers' War","R","89","Black","Near Mint","1"
"Liberator, Urza's Battlethopter","The Brothers' War","R","237","Colorless","Near Mint","1"
"Mechanized Warfare","The Brothers' War","R","139","Red","Near Mint","1"
"Misery's Shadow","The Brothers' War","R","107","Black","Near Mint","1"
"The Mightstone and Weakstone","The Brothers' War","R","238","Colorless","Near Mint","1"
"Perilous Vault","The Brothers' War: Retro Frame Artifacts","M","38","Colorless","Near Mint","1"
"Scrap Trawler","The Brothers' War: Retro Frame Artifacts","R","49","Colorless","Near Mint","1"
"Academy Loremaster","Dominaria United","R","40","Blue","Near Mint","1"
"Cut Down","Dominaria United","U","89","Black","Near Mint","1"
"Forest (Showcase)","Dominaria United","L","281","Colorless","Near Mint","1"
"Mountain (Showcase)","Dominaria United","L","280","Colorless","Near Mint","1"
"Sacred Peaks","Dominaria United","L","254","Colorless","Near Mint","1"
"Shivan Devastator","Dominaria United","M","143","Red","Near Mint","1"
"Swamp (Showcase)","Dominaria United","L","279","Colorless","Near Mint","1"
"The Phasing of Zhalfir","Dominaria United","R","59","Blue","Near Mint","1"
"Boseiju, Who Endures","Kamigawa: Neon Dynasty","R","266","","Near Mint","1"
"Kami of Transience","Kamigawa: Neon Dynasty","R","197","Green","Near Mint","1"
"Fleshtaker","Innistrad: Midnight Hunt","U","222","Black;White","Near Mint","1"
"Swamp (272)","Innistrad: Midnight Hunt","L","272","Colorless","Near Mint","1"
"Blink Dog","Adventures in the Forgotten Realms","U","3","White","Near Mint","1"
