Reimbursement Invoices MUST be shipped in the order listed on the RI Packing Slip
Card Name,Set Name,Rarity,Number,Color,Condition,Quantity
"I:P Masquerena","Battles of Legend: Monstrous Revenge","Secret Rare","BLMR-EN085","","Near Mint 1st Edition","7"
"Noh-P.U.N.K. Foxy Tune","Battles of Legend: Monstrous Revenge","Secret Rare","BLMR-EN063","","Near Mint 1st Edition","2"
"Super Polymerization","Battles of Legend: Monstrous Revenge","Secret Rare","BLMR-EN089","","Near Mint 1st Edition","1"
"Mannadium Meek","Cyberstorm Access","Super Rare","CYAC-EN014","","Near Mint 1st Edition","1"
"Reptilianne Melusine","Burst of Destiny","Super Rare","BODE-EN043","","Near Mint 1st Edition","2"
"Branded Opening","Dawn of Majesty","Super Rare","DAMA-EN054","","Near Mint 1st Edition","1"
"Fusion Destiny","Dark Neostorm","Super Rare","DANE-EN054","","Near Mint 1st Edition","2"
"Torrential Tribute","Maximum Gold: El Dorado","Premium Gold Rare","MGED-EN052","","Near Mint 1st Edition","1"
"Abyss Shark","Legendary Duelists: Duels From the Deep","Ultra Rare","LED9-EN001","","Near Mint 1st Edition","1"
"The Winged Dragon of Ra (Alternate Art)","Legendary Duelists: Rage of Ra","Ultra Rare","LED7-EN000","","Near Mint 1st Edition","2"
"Nobleman of Crossout","Pharaoh's Servant (25th Anniversary Edition)","Super Rare","PSV-EN034","","Near Mint Unlimited","1"
"The Fiend Megacyber","Pharaoh's Servant (25th Anniversary Edition)","Ultra Rare","PSV-EN100","","Near Mint Unlimited","1"
"Kazejin","Metal Raiders (25th Anniversary Edition)","Super Rare","MRD-EN026","","Near Mint Unlimited","1"
"Suijin","Metal Raiders (25th Anniversary Edition)","Super Rare","MRD-EN027","","Near Mint Unlimited","1"
"Twin-Headed Thunder Dragon","Metal Raiders (25th Anniversary Edition)","Super Rare","MRD-EN120","","Near Mint Unlimited","1"
"Dogmatika Punishment","2021 Tin of Ancient Battles","Prismatic Secret Rare","MP21-EN147","","Near Mint 1st Edition","1"
"Fallen of Albaz","2021 Tin of Ancient Battles","Ultra Rare","MP21-EN107","","Near Mint 1st Edition","1"
"Tri-Brigade Fraktall","2021 Tin of Ancient Battles","Prismatic Secret Rare","MP21-EN171","","Near Mint 1st Edition","1"
"Ningirsu the World Chalice Warrior","2018 Mega-Tins Mega Pack","Secret Rare","MP18-EN068","","Near Mint 1st Edition","2"
"Branded Opening","Dawn of Majesty","Super Rare","DAMA-EN054","","Lightly Played 1st Edition","3"
"Infinite Impermanence","Structure Deck: Cyber Strike","Super Rare","SDCS-EN036","","Lightly Played Unlimited","1"
"Elemental HERO Liquid Soldier","Legendary Duelists: Magical Hero","Ultra Rare","LED6-EN013","","Lightly Played 1st Edition","1"
"Witchcrafter Holiday","2020 Tin of Lost Memories","Ultra Rare","MP20-EN226","","Lightly Played 1st Edition","1"
"Exodia, the Legendary Defender","2019 Gold Sarcophagus Tin","Prismatic Secret Rare","TN19-EN003","","Lightly Played Limited","1"
"Magician Navigation","2017 Mega-Tins Mega Pack","Secret Rare","MP17-EN110","","Lightly Played 1st Edition","1"
"PSY-Framegear Gamma","Maximum Gold: El Dorado","Premium Gold Rare","MGED-EN012","","Moderately Played 1st Edition","1"
"Altergeist Adminia","Duelist Nexus","Ultra Rare","DUNE-EN047","","Near Mint 1st Edition","1"
"Tri-Brigade Roar","Cyberstorm Access","Super Rare","CYAC-EN053","","Near Mint 1st Edition","1"
"Rikka Konkon","Power of the Elements","Super Rare","POTE-EN066","","Near Mint 1st Edition","1"
"Blackeyes, the Plunder Patroll Seaguide","Lightning Overdrive","Common","LIOV-EN018","","Near Mint 1st Edition","3"
"Magician of Chaos","Duel Power","Ultra Rare","DUPO-EN001","","Near Mint 1st Edition","1"
"Backup Soldier","Pharaoh's Servant (25th Anniversary Edition)","Super Rare","PSV-EN028","","Near Mint Unlimited","1"
"Right Arm of the Forbidden One","Legendary Collection 3: Yugi's World","Secret Rare","LCYW-EN304","","Lightly Played 1st Edition","1"
"Cyber Twin Dragon","Legendary Collection 2","Secret Rare","LCGX-EN180","","Lightly Played Unlimited","1"
"Dinomorphia Domain","Battle of Chaos","Secret Rare","BACH-EN068","","Near Mint 1st Edition","1"
"Toon Kingdom (Green)","Dragons of Legend: The Complete Series","Ultra Rare","DLCS-EN074","","Near Mint 1st Edition","1"
"Sky Striker Ace - Roze","2021 Tin of Ancient Battles","Prismatic Secret Rare","MP21-EN005","","Lightly Played 1st Edition","1"
